label,gate_chars,frontend_scorable_chars
L0001/full_text_annotate.mcyjp.yml,601,629
L0001/key_reading.mpjwh.yml,359,371
L0002/full_text_annotate.wfrxc.yml,768,768
L0002/key_reading.hwteq.yml,334,334
L0003/full_text_annotate.mcda3.yml,882,893
L0003/key_reading.fxqh6.yml,344,344
L0004/full_text_annotate.dmhc3.yml,543,543
L0004/key_reading.6yxve.yml,384,384
L0005/full_text_annotate.aaymn.yml,651,656
L0005/key_reading.hkx6e.yml,311,316
L0006/full_text_annotate.3ttr7.yml,588,588
L0006/key_reading.md99x.yml,326,326
L0007/full_text_annotate.c9h66.yml,983,987
L0007/key_reading.cwcnf.yml,334,334
L0008/full_text_annotate.h9yhy.yml,699,699
L0008/key_reading.3adk9.yml,310,310
L0009/full_text_annotate.xxwkf.yml,1003,1003
L0009/key_reading.mn7ju.yml,356,356
L0010/full_text_annotate.ajk7q.yml,581,581
L0010/key_reading.wkmdr.yml,281,281
L0011/full_text_annotate.dcavv.yml,615,628
L0011/key_reading.arfe7.yml,331,339
L0012/full_text_annotate.rxfxx.yml,802,825
L0012/key_reading.ju7a4.yml,271,293
L0013/full_text_annotate.7fy99.yml,743,755
L0013/key_reading.mrfyn.yml,292,300
L0014/full_text_annotate.uc7mr.yml,647,647
L0014/key_reading.yvpjd.yml,350,350
L0015/full_text_annotate.kfjyw.yml,677,693
L0015/key_reading.vuu63.yml,338,344
L0016/full_text_annotate.n3tjn.yml,458,458
L0016/key_reading.4uj4q.yml,339,339
L0017/full_text_annotate.qeqwt.yml,598,598
L0017/key_reading.h6xnk.yml,263,263
L0018/full_text_annotate.j4dyf.yml,721,724
L0018/key_reading.tpxtj.yml,320,320
L0019/full_text_annotate.3hhtn.yml,966,985
L0019/key_reading.kddmm.yml,396,411
L0020/full_text_annotate.6xkpp.yml,782,785
L0020/key_reading.m47w4.yml,303,306
L0021/full_text_annotate.ke6jr.yml,734,746
L0022/full_text_annotate.7m4my.yml,698,698
L0022/key_reading.4dekv.yml,455,455
L0023/full_text_annotate.tqvdk.yml,925,944
L0023/key_reading.n3jva.yml,432,434
L0024/full_text_annotate.eak94.yml,976,981
L0024/key_reading.y73mk.yml,330,330
L0025/full_text_annotate.9tmnd.yml,945,962
L0025/key_reading.jppcc.yml,409,409
L0026/full_text_annotate.jetyv.yml,692,692
L0026/key_reading.d9wqa.yml,356,356
L0027/full_text_annotate.dkkew.yml,546,546
L0027/key_reading.yy4tx.yml,298,298
L0028/full_text_annotate.977nw.yml,797,840
L0028/key_reading.pckcm.yml,408,419
L0029/full_text_annotate.fqwda.yml,897,907
L0029/full_text_annotate.n3qxn.yml,867,887
L0029/key_reading.d9d7p.yml,299,303
L0029/key_reading.tfewt.yml,292,292
L0030/full_text_annotate.eqqyy.yml,589,589
L0030/key_reading.jr6ja.yml,362,362
L0031/full_text_annotate.3khu6.yml,722,742
L0031/key_reading.x4n4w.yml,350,368
L0032/full_text_annotate.qjn4x.yml,860,871
L0032/key_reading.pucxn.yml,256,256
L0033/full_text_annotate.p7q67.yml,806,806
L0033/key_reading.phwnx.yml,319,319
L0034/full_text_annotate.6t6cy.yml,1044,1062
L0034/key_reading.j7xqu.yml,413,417
L0035/full_text_annotate.vc3at.yml,994,1033
L0035/key_reading.apnaa.yml,314,336
L0036/full_text_annotate.dt9cv.yml,896,937
L0036/key_reading.cua4c.yml,320,331
L0037/full_text_annotate.fv7cm.yml,1252,1257
L0037/key_reading.6ynfe.yml,328,328
L0038/full_text_annotate.jmh6a.yml,746,752
L0038/key_reading.qt9uh.yml,384,390
L0039/full_text_annotate.phhwe.yml,1034,1048
L0039/key_reading.e7umc.yml,311,311
L0040/full_text_annotate.h6kd6.yml,1481,1489
L0040/key_reading.3ma4h.yml,391,391
L0041/full_text_annotate.wjtnp.yml,1030,1036
L0041/key_reading.ujtjf.yml,317,317
L0042/full_text_annotate.tvt77.yml,1037,1047
L0042/key_reading.mdjjy.yml,302,307
L0043/full_text_annotate.nraty.yml,1410,1410
L0043/key_reading.aqhhj.yml,320,320
L0044/full_text_annotate.yqxqv.yml,851,851
L0045/full_text_annotate.urk49.yml,789,821
L0045/key_reading.ejvcp.yml,331,345
L0046/full_text_annotate.vcn7j.yml,793,793
L0046/key_reading.ny7wv.yml,286,286
L0047/full_text_annotate.4mq6a.yml,868,870
L0047/key_reading.cptv3.yml,365,367
L0048/full_text_annotate.jehhy.yml,984,1047
L0048/key_reading.audn6.yml,371,379
L0049/full_text_annotate.vdrxk.yml,734,746
L0050/full_text_annotate.cwrfr.yml,899,949
L0050/key_reading.teqca.yml,303,318
L0051/full_text_annotate.f9369.yml,1010,1046
L0051/key_reading.ty6c7.yml,306,318
L0052/full_text_annotate.jhjte.yml,795,825
L0052/key_reading.kjcx3.yml,400,414
L0053/full_text_annotate.3np3k.yml,848,848
L0053/key_reading.phva7.yml,313,313
L0054/full_text_annotate.a3pdu.yml,857,857
L0054/key_reading.uyr7q.yml,416,416
L0055/full_text_annotate.9pfan.yml,990,1042
L0055/key_reading.j3e3w.yml,368,382
L0056/full_text_annotate.wprr6.yml,1019,1024
L0056/key_reading.adykq.yml,295,295
L0057/full_text_annotate.tvrxr.yml,891,898
L0057/key_reading.7rxjq.yml,251,251
L0058/full_text_annotate.wmhmv.yml,886,929
L0058/key_reading.4xtq7.yml,311,318
L0059/full_text_annotate.e3rx7.yml,755,766
L0059/key_reading.jm3ww.yml,309,313
L0060/full_text_annotate.tw9hj.yml,1127,1146
L0060/key_reading.6reqf.yml,322,322
L0061/full_text_annotate.k3ckp.yml,1090,1092
L0061/key_reading.vq7ww.yml,387,387
L0062/full_text_annotate.ww4d9.yml,708,708
L0062/key_reading.jak3k.yml,310,310
L0063/full_text_annotate.4uee3.yml,730,744
L0063/full_text_annotate.7wavn.yml,837,875
L0063/full_text_annotate.p3kud.yml,660,683
L0063/key_reading.9a7x4.yml,302,302
L0063/key_reading.ajy9w.yml,241,250
L0063/key_reading.yprak.yml,310,330
L0064/full_text_annotate.4fwdm.yml,765,765
L0064/key_reading.3yw7u.yml,429,429
L0065/full_text_annotate.7qpra.yml,1060,1064
L0065/key_reading.mqxtx.yml,330,330
L0066/full_text_annotate.my7tn.yml,1041,1041
L0066/key_reading.vye47.yml,344,344
L0067/full_text_annotate.dhqrv.yml,1157,1157
L0067/key_reading.3nau9.yml,338,338
L0068/full_text_annotate.yehu3.yml,1469,1473
L0069/full_text_annotate.v9cjw.yml,1165,1175
L0069/key_reading.yumur.yml,349,349
L0070/full_text_annotate.cdhdt.yml,970,970
L0071/full_text_annotate.mkn9y.yml,856,903
L0071/key_reading.9rncr.yml,371,382
L0072/full_text_annotate.yk4tc.yml,869,879
L0072/key_reading.vfmem.yml,317,317
L0073/full_text_annotate.4ye9x.yml,917,917
L0073/key_reading.wtaem.yml,420,420
L0074/full_text_annotate.a4qjf.yml,877,924
L0074/key_reading.fedv9.yml,351,363
L0075/full_text_annotate.tvf6u.yml,908,939
L0075/key_reading.4jkpq.yml,287,293
L0076/full_text_annotate.qw9tk.yml,1051,1051
L0076/key_reading.6ye9h.yml,334,334
L0077/full_text_annotate.6cp4h.yml,734,746
L0078/full_text_annotate.3ynpe.yml,957,957
L0078/key_reading.hqnw3.yml,351,351
L0079/full_text_annotate.xxra4.yml,892,919
L0079/key_reading.qh7t4.yml,370,386
L0080/full_text_annotate.cmwwv.yml,1040,1053
L0080/key_reading.nkj9j.yml,340,340
L0081/full_text_annotate.v3nth.yml,821,854
L0081/key_reading.jwhh3.yml,316,323
