sheet,excel_row,story_id,online_grade_code,online_lesson_number,new_code,old_code,title,label,note
1.總表,2,1001,G4-L1,1001,G4-L01,G4-L1,贏得喝采的輸家,不變,⚠️ 同 code/課名另有候選未採用（線上既有重複資料）：story_id=1(G4-L01 贏得喝采的輸家)
1.總表,3,1007,G4-L7,1007,G4-L02,G4-L7,正太與小豬：武僧的養成之路,改序,
1.總表,4,1008,G4-L8,1008,G4-L03,G4-L8,最美的畫面,改序,
1.總表,5,5,G4-L05,5,G4-L04,G4-L5,穿越極限的跑者,改序,
1.總表,6,1006,G4-L6,1006,G4-L05,G4-L6,這是什麼「意思」？,改序,
1.總表,7,1015,G4-L15,1015,G4-L06,G4-L15,感情小日記1──是友情還是愛情？,改序,
1.總表,8,3,G4-L03,3,G4-L07,G4-L3,長高的祕密,改序,
1.總表,9,4,G4-L04,4,G4-L08,G4-L4,運動科學,改序,
1.總表,10,,,,G4-L09,（無，總表留白）,新增解題策略──轉折詞後有重點,新增,
1.總表,11,2,G4-L02,2,G4-L10,G4-L2,十秒的背後,改序,
1.總表,12,,,,G4-L11,（無，總表留白）,寫一個列舉結構的說明文,新增,
1.總表,13,1009,G4-L9,1009,G4-L12,G4-L9,大自然的氣象小幫手,改序,
1.總表,14,1016,G4-L16,1016,G4-L13,G4-L16,感情小日記2──喜歡是什麼？,改序,
1.總表,15,1010,G4-L10,1010,G4-L14,G4-L10,美好的一天,改序,
1.總表,16,1011,G4-L11,1011,G4-L15,G4-L11,誤會,改序,
1.總表,17,1012,G4-L12,1012,G4-L16,G4-L12,黃絲帶,改序,
1.總表,18,6,G4-L13,6,G4-L17,G4-L13,第一百碗麵,改序,
1.總表,19,1014,G4-L14,1014,G4-L18,G4-L14,白牙的最後一戰,改序,
1.總表,20,1017,G4-L17,1017,G4-L19,G4-L17,把球打好，就夠了嗎？—阿耀與健豪學長的通信（一）,改序,
1.總表,21,1018,G4-L18,1018,G4-L20,G4-L18,想讀書，該從哪裡著手？—阿耀與健豪學長的通信（二）,改序,
